salary,city,companyShortName,district,companyId,jobNature,industryField,createTime,firstType,secondType,positionAdvantage,positionName,education,companyFullName,companyLabelList,companySize
15k-20k,深圳,Gridsum 国双,福田区,3038,全职,"数据服务,企业服务",2018-07-12 10:22:07,开发/测试/运维类,后端开发,"发展空间大,牛人多,弹性工作制,福利好",高级运维开发工程师（python开发）,本科,北京国双科技有限公司,"年度旅游, 节日礼物, 年底双薪, 带薪年假, ",500-2000人
15k-30k,深圳,智言科技,南山区,164895,全职,"数据服务,其他",2018-07-10 19:06:03,开发/测试/运维类,后端开发,"福利待遇,六险一金,博士团队,人工智能",高级python开发工程师/专家,本科,智言科技(深圳)有限公司,"年底双薪, 绩效奖金, 通讯津贴, 扁平管理, ",50-150人
15k-30k,深圳,小伏科技,南山区,221090,全职,"移动互联网,硬件",2018-07-04 16:57:30,开发/测试/运维类,后端开发,公司福利好，执行力强，开放式办公。,Python 开发工程师,本科,深圳小伏科技有限公司,"股票期权, 早餐补助, 办公环境好, 创业公司, ",少于15人
2k-4k,深圳,卖座网,南山区,56,实习,"移动互联网,电子商务",2018-07-12 09:37:19,开发/测试/运维类,后端开发,行业大牛、项目机会,Python工程师实习生,本科,深圳市华宇讯科技有限公司,"技能培训, 股票期权, 五险一金, 弹性工作, ",500-2000人
15k-20k,深圳,通力互联,龙岗区,123777,全职,"电子商务,企业服务",2018-07-05 15:17:05,开发/测试/运维类,后端开发,"双休,福利好,美女多,工资高",Python算法工程师,本科,北京通力互联技术服务有限公司,"绩效奖金, 交通补助, 定期体检, 通讯津贴, ",2000人以上
20k-30k,深圳,顺丰科技有限公司,南山区,35996,全职,"移动互联网,电子商务",2018-07-12 14:54:18,开发/测试/运维类,后端开发,"开发,能力论英雄",Python开发,本科,顺丰科技有限公司,"技能培训, 节日礼物, 带薪年假, 岗位晋升, ",500-2000人
15k-30k,深圳,云天励飞,福田区,95529,全职,移动互联网,2018-07-10 21:36:48,开发/测试/运维类,后端开发,"五险一金,免费零食,人工智能,大牛多",Python后端工程师A,本科,深圳云天励飞技术有限公司,"节日礼物, 带薪年假, 年度旅游, 开放务实, ",150-500人
3k-4k,深圳,海知智能,南山区,88978,实习,"移动互联网,数据服务",2018-07-12 16:40:35,开发/测试/运维类,数据开发,"技术大牛,实习待遇高,提升迅速",Python开发实习生,本科,上海海知智能科技有限公司,"晋升空间大, 硅谷管理风格, 创新前沿, 尊重个性, ",50-150人
15k-23k,深圳,晶泰科技,福田区,76066,全职,"企业服务,医疗健康",2018-07-10 13:33:35,开发/测试/运维类,后端开发,"大牛多,公司氛围好,周末双休,成长快",高级Python开发工程师,本科,深圳晶泰科技有限公司,"节日礼物, 股票期权, 岗位晋升, 扁平管理, ",50-150人
10k-17k,深圳,富甲金融,南山区,106745,全职,"电子商务,金融",2018-07-12 14:09:16,开发/测试/运维类,后端开发,"待遇好,福利好,领导好,氛围好",Python,本科,深圳市前海富甲金融信息有限公司,"股票期权, 弹性工作, 五险一金, 扁平管理, ",50-150人
10k-18k,深圳,国文阅读,南山区,309984,全职,"电子商务,企业服务",2018-07-10 10:44:55,开发/测试/运维类,后端开发,"五险一金,近地铁,年底双薪",python工程师,本科,深圳市国文阅读科技有限公司,""""", ",50-150人
8k-15k,深圳,编玩边学,南山区,110722,全职,"教育,游戏",2018-07-10 18:44:12,开发/测试/运维类,后端开发,"五险一金,节日福利,餐饮补贴,运动健身",代码编程老师（Python）,本科,深圳市编玩边学教育科技有限公司,"专项奖金, 股票期权, 绩效奖金, 午餐补助, ",150-500人
10k-20k,深圳,行云智能,南山区,158669,全职,"移动互联网,硬件",2018-07-10 09:48:34,开发/测试/运维类,后端开发,"扁平化管理,周末双休,年终奖,发展空间大",Python开发工程师,本科,行云智能（深圳）技术有限公司,"年终分红, 绩效奖金, 专项奖金, 带薪年假, ",15-50人
8k-16k,深圳,SheIn,南山区,22233,全职,"移动互联网,电子商务",2018-07-09 23:55:51,开发/测试/运维类,后端开发,"发展前景,环境好,双休,氛围好",python开发,本科,深圳市找库科技有限公司,"五险一金, 带薪年假, 节日礼物, 年度旅游, ",500-2000人
20k-30k,深圳,和美信息,南山区,24548,全职,"金融,硬件",2018-07-11 09:50:09,开发/测试/运维类,后端开发,"机器人,银行",高级Python软件工程师,本科,深圳市和美信息技术有限公司,"五险一金, 通讯津贴, 带薪年假, 节日礼物, ",500-2000人
